steps,rewards,intrinsic_rewards
35351,119.0,0.010228363567148333
35538,187.0,0.029444022549432704
35564,26.0,0.004332631386932917
35705,141.0,0.008646292827324945
35730,25.0,0.0023082820203853775
35877,147.0,0.011348016868578264
36034,157.0,0.012462372818845326
36093,59.0,0.004817508574342356
36251,158.0,0.010881523255375211
36408,157.0,0.007979323592735456
36581,173.0,0.00813635133818025
36666,85.0,0.005578886839793996
36798,132.0,0.006615435643470844
36940,142.0,0.006888981873635199
37090,150.0,0.006662291004613508
37226,136.0,0.00554683389927959
37359,133.0,0.0056512045266572395
37487,128.0,0.0055559930158779035
37610,123.0,0.005448025344230701
37742,132.0,0.005901482014451175
37863,121.0,0.005048406566493214
37993,130.0,0.005683234927710145
38128,135.0,0.006121331114263737
38263,135.0,0.005819266749313102
38398,135.0,0.00552932630671421
38525,127.0,0.00516102251567645
38658,133.0,0.005392703313555102
38798,140.0,0.005579963892523666
38932,134.0,0.0055954816591110975
39063,131.0,0.00507797899626894
39185,122.0,0.00457358844432747
39330,145.0,0.005613065863144583
39463,133.0,0.005079370524617844
39596,133.0,0.005336075245577379
39722,126.0,0.005138596554752437
39858,136.0,0.005244738128385507
39981,123.0,0.004695078521035611
40118,137.0,0.004968716371513438
40261,143.0,0.005125569882511629
40388,127.0,0.004496888496214525
40524,136.0,0.004727646973333321
40665,141.0,0.004934920863888693
40809,144.0,0.005091278371401131
40952,143.0,0.005359757304540839
41090,138.0,0.004689923078694848
41228,138.0,0.004636276196106335
41357,129.0,0.004220039348001591
41482,125.0,0.004064939472300466
41615,133.0,0.004467009870859329
41746,131.0,0.004380782179941888
41875,129.0,0.004435121128335594
41997,122.0,0.003956491459393875
42128,131.0,0.004102485023031476
42278,150.0,0.004861363513919061
42406,128.0,0.004107564428704791
42537,131.0,0.0041323273311718355
42670,133.0,0.004279317757755052
42805,135.0,0.00443498064269079
42936,131.0,0.004227472250931897
43077,141.0,0.004564493559882977
43219,142.0,0.004268420429434629
43360,141.0,0.004224659706233071
43499,139.0,0.004526719865680206
43635,136.0,0.0041694079569424515
43778,143.0,0.004715395359380638
43915,137.0,0.004156265227356924
44076,161.0,0.004954295881907454
44224,148.0,0.004581003911152948
44382,158.0,0.004649791051633658
44523,141.0,0.004275180780678056
44666,143.0,0.004123244601942132
44820,154.0,0.0047842628264334035
44951,131.0,0.004122654716775288
45095,144.0,0.004473834953387267
45248,153.0,0.0047911455432767995
45406,158.0,0.0047449314763071
45551,145.0,0.003975799404724968
45697,146.0,0.004092200755258091
45846,149.0,0.004017235233914108
45990,144.0,0.004035090112301987
46133,143.0,0.004096030238724779
46272,139.0,0.003731962823076173
46404,132.0,0.0035636231594253333
46541,137.0,0.0035634953659609892
46670,129.0,0.0033455952492658994
46806,136.0,0.0036156404021312483
46942,136.0,0.003664396576641593
47081,139.0,0.0036735893503646367
47220,139.0,0.003610778290021699
47371,151.0,0.0039542859783978195
47528,157.0,0.003960185751202515
47688,160.0,0.00413415283546783
47847,159.0,0.004165174435183872
47999,152.0,0.004029350964992773
48157,158.0,0.00393598017617478
48307,150.0,0.003653095229674362
48431,124.0,0.020003736898070203
48589,158.0,0.0039843687285610946
48725,136.0,0.0034498835164413306
48872,147.0,0.003967165935318915
49017,145.0,0.003804809969005875
49154,137.0,0.0032956834511423975
49296,142.0,0.0032730151069699795
49423,127.0,0.003458081921417033
49555,132.0,0.0031573843152727936
49690,135.0,0.0031628115080820853
49811,121.0,0.0030404297867789865
49934,123.0,0.003153720056434395
